instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
256265,1001,NIFTY 50,NIFTY 50,0,,0.0,0.0,0,EQ,INDICES,NSE
12683010,49543,NIFTY25DECFUT,NIFTY,0,2025-12-30,0.0,0.1,75,FUT,NFO-FUT,NFO
12602626,49229,NIFTY26JANFUT,NIFTY,0,2026-01-27,0.0,0.1,65,FUT,NFO-FUT,NFO
15150594,59182,NIFTY26FEBFUT,NIFTY,0,2026-02-24,0.0,0.1,65,FUT,NFO-FUT,NFO
10721538,41881,NIFTY25D0925950CE,NIFTY,0,2025-12-09,25950.0,0.05,75,CE,NFO-OPT,NFO
10721794,41882,NIFTY25D0925950PE,NIFTY,0,2025-12-09,25950.0,0.05,75,PE,NFO-OPT,NFO
10727170,41903,NIFTY25D0926000CE,NIFTY,0,2025-12-09,26000.0,0.05,75,CE,NFO-OPT,NFO
10727426,41904,NIFTY25D0926000PE,NIFTY,0,2025-12-09,26000.0,0.05,75,PE,NFO-OPT,NFO
10721026,41879,NIFTY25D0925900CE,NIFTY,0,2025-12-09,25900.0,0.05,75,CE,NFO-OPT,NFO
10721282,41880,NIFTY25D0925900PE,NIFTY,0,2025-12-09,25900.0,0.05,75,PE,NFO-OPT,NFO
10727682,41905,NIFTY25D0926050CE,NIFTY,0,2025-12-09,26050.0,0.05,75,CE,NFO-OPT,NFO
10727938,41906,NIFTY25D0926050PE,NIFTY,0,2025-12-09,26050.0,0.05,75,PE,NFO-OPT,NFO
10720514,41877,NIFTY25D0925850CE,NIFTY,0,2025-12-09,25850.0,0.05,75,CE,NFO-OPT,NFO
10720770,41878,NIFTY25D0925850PE,NIFTY,0,2025-12-09,25850.0,0.05,75,PE,NFO-OPT,NFO
10728194,41907,NIFTY25D0926100CE,NIFTY,0,2025-12-09,26100.0,0.05,75,CE,NFO-OPT,NFO
10728450,41908,NIFTY25D0926100PE,NIFTY,0,2025-12-09,26100.0,0.05,75,PE,NFO-OPT,NFO
10720002,41875,NIFTY25D0925800CE,NIFTY,0,2025-12-09,25800.0,0.05,75,CE,NFO-OPT,NFO
10720258,41876,NIFTY25D0925800PE,NIFTY,0,2025-12-09,25800.0,0.05,75,PE,NFO-OPT,NFO
10728706,41909,NIFTY25D0926150CE,NIFTY,0,2025-12-09,26150.0,0.05,75,CE,NFO-OPT,NFO
10728962,41910,NIFTY25D0926150PE,NIFTY,0,2025-12-09,26150.0,0.05,75,PE,NFO-OPT,NFO
10716418,41861,NIFTY25D0925750CE,NIFTY,0,2025-12-09,25750.0,0.05,75,CE,NFO-OPT,NFO
10716674,41862,NIFTY25D0925750PE,NIFTY,0,2025-12-09,25750.0,0.05,75,PE,NFO-OPT,NFO
10729730,41913,NIFTY25D0926200CE,NIFTY,0,2025-12-09,26200.0,0.05,75,CE,NFO-OPT,NFO
10729986,41914,NIFTY25D0926200PE,NIFTY,0,2025-12-09,26200.0,0.05,75,PE,NFO-OPT,NFO
10715394,41857,NIFTY25D0925700CE,NIFTY,0,2025-12-09,25700.0,0.05,75,CE,NFO-OPT,NFO
10715650,41858,NIFTY25D0925700PE,NIFTY,0,2025-12-09,25700.0,0.05,75,PE,NFO-OPT,NFO
10730242,41915,NIFTY25D0926250CE,NIFTY,0,2025-12-09,26250.0,0.05,75,CE,NFO-OPT,NFO
10730498,41916,NIFTY25D0926250PE,NIFTY,0,2025-12-09,26250.0,0.05,75,PE,NFO-OPT,NFO
10710274,41837,NIFTY25D0925650CE,NIFTY,0,2025-12-09,25650.0,0.05,75,CE,NFO-OPT,NFO
10710530,41838,NIFTY25D0925650PE,NIFTY,0,2025-12-09,25650.0,0.05,75,PE,NFO-OPT,NFO
10730754,41917,NIFTY25D0926300CE,NIFTY,0,2025-12-09,26300.0,0.05,75,CE,NFO-OPT,NFO
10731010,41918,NIFTY25D0926300PE,NIFTY,0,2025-12-09,26300.0,0.05,75,PE,NFO-OPT,NFO
10709762,41835,NIFTY25D0925600CE,NIFTY,0,2025-12-09,25600.0,0.05,75,CE,NFO-OPT,NFO
10710018,41836,NIFTY25D0925600PE,NIFTY,0,2025-12-09,25600.0,0.05,75,PE,NFO-OPT,NFO
10732034,41922,NIFTY25D0926350PE,NIFTY,0,2025-12-09,26350.0,0.05,75,PE,NFO-OPT,NFO
10758914,42027,NIFTY25D0927950CE,NIFTY,0,2025-12-09,27950.0,0.05,75,CE,NFO-OPT,NFO
10759170,42028,NIFTY25D0927950PE,NIFTY,0,2025-12-09,27950.0,0.05,75,PE,NFO-OPT,NFO
10758402,42025,NIFTY25D0927900CE,NIFTY,0,2025-12-09,27900.0,0.05,75,CE,NFO-OPT,NFO
10758658,42026,NIFTY25D0927900PE,NIFTY,0,2025-12-09,27900.0,0.05,75,PE,NFO-OPT,NFO
10757890,42023,NIFTY25D0927850CE,NIFTY,0,2025-12-09,27850.0,0.05,75,CE,NFO-OPT,NFO
10758146,42024,NIFTY25D0927850PE,NIFTY,0,2025-12-09,27850.0,0.05,75,PE,NFO-OPT,NFO
10757378,42021,NIFTY25D0927800CE,NIFTY,0,2025-12-09,27800.0,0.05,75,CE,NFO-OPT,NFO
10757634,42022,NIFTY25D0927800PE,NIFTY,0,2025-12-09,27800.0,0.05,75,PE,NFO-OPT,NFO
10756866,42019,NIFTY25D0927750CE,NIFTY,0,2025-12-09,27750.0,0.05,75,CE,NFO-OPT,NFO
10757122,42020,NIFTY25D0927750PE,NIFTY,0,2025-12-09,27750.0,0.05,75,PE,NFO-OPT,NFO
10756354,42017,NIFTY25D0927700CE,NIFTY,0,2025-12-09,27700.0,0.05,75,CE,NFO-OPT,NFO
10756610,42018,NIFTY25D0927700PE,NIFTY,0,2025-12-09,27700.0,0.05,75,PE,NFO-OPT,NFO
10755842,42015,NIFTY25D0927650CE,NIFTY,0,2025-12-09,27650.0,0.05,75,CE,NFO-OPT,NFO
10756098,42016,NIFTY25D0927650PE,NIFTY,0,2025-12-09,27650.0,0.05,75,PE,NFO-OPT,NFO
10755330,42013,NIFTY25D0927600CE,NIFTY,0,2025-12-09,27600.0,0.05,75,CE,NFO-OPT,NFO
10755586,42014,NIFTY25D0927600PE,NIFTY,0,2025-12-09,27600.0,0.05,75,PE,NFO-OPT,NFO
10754818,42011,NIFTY25D0927550CE,NIFTY,0,2025-12-09,27550.0,0.05,75,CE,NFO-OPT,NFO
10755074,42012,NIFTY25D0927550PE,NIFTY,0,2025-12-09,27550.0,0.05,75,PE,NFO-OPT,NFO
10753794,42007,NIFTY25D0927500CE,NIFTY,0,2025-12-09,27500.0,0.05,75,CE,NFO-OPT,NFO
10754050,42008,NIFTY25D0927500PE,NIFTY,0,2025-12-09,27500.0,0.05,75,PE,NFO-OPT,NFO
10752770,42003,NIFTY25D0927450CE,NIFTY,0,2025-12-09,27450.0,0.05,75,CE,NFO-OPT,NFO
10753026,42004,NIFTY25D0927450PE,NIFTY,0,2025-12-09,27450.0,0.05,75,PE,NFO-OPT,NFO
10751746,41999,NIFTY25D0927400CE,NIFTY,0,2025-12-09,27400.0,0.05,75,CE,NFO-OPT,NFO
10752002,42000,NIFTY25D0927400PE,NIFTY,0,2025-12-09,27400.0,0.05,75,PE,NFO-OPT,NFO
10751234,41997,NIFTY25D0927350CE,NIFTY,0,2025-12-09,27350.0,0.05,75,CE,NFO-OPT,NFO
10751490,41998,NIFTY25D0927350PE,NIFTY,0,2025-12-09,27350.0,0.05,75,PE,NFO-OPT,NFO
10750722,41995,NIFTY25D0927300CE,NIFTY,0,2025-12-09,27300.0,0.05,75,CE,NFO-OPT,NFO
10750978,41996,NIFTY25D0927300PE,NIFTY,0,2025-12-09,27300.0,0.05,75,PE,NFO-OPT,NFO
10750210,41993,NIFTY25D0927250CE,NIFTY,0,2025-12-09,27250.0,0.05,75,CE,NFO-OPT,NFO
10750466,41994,NIFTY25D0927250PE,NIFTY,0,2025-12-09,27250.0,0.05,75,PE,NFO-OPT,NFO
10749698,41991,NIFTY25D0927200CE,NIFTY,0,2025-12-09,27200.0,0.05,75,CE,NFO-OPT,NFO
10749954,41992,NIFTY25D0927200PE,NIFTY,0,2025-12-09,27200.0,0.05,75,PE,NFO-OPT,NFO
10749186,41989,NIFTY25D0927150CE,NIFTY,0,2025-12-09,27150.0,0.05,75,CE,NFO-OPT,NFO
10749442,41990,NIFTY25D0927150PE,NIFTY,0,2025-12-09,27150.0,0.05,75,PE,NFO-OPT,NFO
10748674,41987,NIFTY25D0927100CE,NIFTY,0,2025-12-09,27100.0,0.05,75,CE,NFO-OPT,NFO
10748930,41988,NIFTY25D0927100PE,NIFTY,0,2025-12-09,27100.0,0.05,75,PE,NFO-OPT,NFO
10745090,41973,NIFTY25D0927050CE,NIFTY,0,2025-12-09,27050.0,0.05,75,CE,NFO-OPT,NFO
10745346,41974,NIFTY25D0927050PE,NIFTY,0,2025-12-09,27050.0,0.05,75,PE,NFO-OPT,NFO
10744578,41971,NIFTY25D0927000CE,NIFTY,0,2025-12-09,27000.0,0.05,75,CE,NFO-OPT,NFO
10744834,41972,NIFTY25D0927000PE,NIFTY,0,2025-12-09,27000.0,0.05,75,PE,NFO-OPT,NFO
10744066,41969,NIFTY25D0926950CE,NIFTY,0,2025-12-09,26950.0,0.05,75,CE,NFO-OPT,NFO
10744322,41970,NIFTY25D0926950PE,NIFTY,0,2025-12-09,26950.0,0.05,75,PE,NFO-OPT,NFO
10743554,41967,NIFTY25D0926900CE,NIFTY,0,2025-12-09,26900.0,0.05,75,CE,NFO-OPT,NFO
10743810,41968,NIFTY25D0926900PE,NIFTY,0,2025-12-09,26900.0,0.05,75,PE,NFO-OPT,NFO
10742018,41961,NIFTY25D0926850CE,NIFTY,0,2025-12-09,26850.0,0.05,75,CE,NFO-OPT,NFO
10742274,41962,NIFTY25D0926850PE,NIFTY,0,2025-12-09,26850.0,0.05,75,PE,NFO-OPT,NFO
